ICD9dx,CCS Category,CCS Category Description
'01000','1    ','Tuberculosis'
'01001','1    ','Tuberculosis'
'01002','1    ','Tuberculosis'
'01003','1    ','Tuberculosis'
'01004','1    ','Tuberculosis'
'01005','1    ','Tuberculosis'
'01006','1    ','Tuberculosis'
'01010','1    ','Tuberculosis'
'01011','1    ','Tuberculosis'
'01012','1    ','Tuberculosis'
'01013','1    ','Tuberculosis'
'01014','1    ','Tuberculosis'
'01015','1    ','Tuberculosis'
'01016','1    ','Tuberculosis'
'01080','1    ','Tuberculosis'
'01081','1    ','Tuberculosis'
'01082','1    ','Tuberculosis'
'01083','1    ','Tuberculosis'
'01084','1    ','Tuberculosis'
'01085','1    ','Tuberculosis'
'01086','1    ','Tuberculosis'
'01090','1    ','Tuberculosis'
'01091','1    ','Tuberculosis'
'01092','1    ','Tuberculosis'
'01093','1    ','Tuberculosis'
'01094','1    ','Tuberculosis'
'01095','1    ','Tuberculosis'
'01096','1    ','Tuberculosis'
'01100','1    ','Tuberculosis'
'01101','1    ','Tuberculosis'
'01102','1    ','Tuberculosis'
'01103','1    ','Tuberculosis'
'01104','1    ','Tuberculosis'
'01105','1    ','Tuberculosis'
'01106','1    ','Tuberculosis'
'01110','1    ','Tuberculosis'
'01111','1    ','Tuberculosis'
'01112','1    ','Tuberculosis'
'01113','1    ','Tuberculosis'
'01114','1    ','Tuberculosis'
'01115','1    ','Tuberculosis'
'01116','1    ','Tuberculosis'
'01120','1    ','Tuberculosis'
'01121','1    ','Tuberculosis'
'01122','1    ','Tuberculosis'
'01123','1    ','Tuberculosis'
'01124','1    ','Tuberculosis'
'01125','1    ','Tuberculosis'
'01126','1    ','Tuberculosis'
'01130','1    ','Tuberculosis'
'01131','1    ','Tuberculosis'
'01132','1    ','Tuberculosis'
'01133','1    ','Tuberculosis'
'01134','1    ','Tuberculosis'
'01135','1    ','Tuberculosis'
'01136','1    ','Tuberculosis'
'01140','1    ','Tuberculosis'
'01141','1    ','Tuberculosis'
'01142','1    ','Tuberculosis'
'01143','1    ','Tuberculosis'
'01144','1    ','Tuberculosis'
'01145','1    ','Tuberculosis'
'01146','1    ','Tuberculosis'
'01150','1    ','Tuberculosis'
'01151','1    ','Tuberculosis'
'01152','1    ','Tuberculosis'
'01153','1    ','Tuberculosis'
'01154','1    ','Tuberculosis'
'01155','1    ','Tuberculosis'
'01156','1    ','Tuberculosis'
'01160','1    ','Tuberculosis'
